grid_x,grid_y,reconstruction_m,ground_truth_m,absolute_error_m,reconstruction_points,ground_truth_points,support_score
1,2,1.3635116901670608,3.2206523319390383,1.8571406417719776,1802,1773,1773
2,0,0.37983026547071663,3.2229754782030438,2.843145212732327,2439,1148,1148
1,1,2.546374982369268,3.2219332857459255,0.6755583033766577,2633,1140,1140
2,1,2.350355557320807,3.0163387987476753,0.6659832414268685,2747,1115,1115
0,3,3.683058260941051,3.214242606448605,0.4688156544924458,1076,1168,1076
3,2,2.469909366934503,3.224490053002344,0.754580686067841,1412,1053,1053
0,0,2.237904941551114,3.2236073735417663,0.9857024319906524,1516,955,955
2,4,3.2924010903556993,3.220317550239694,0.07208354011600537,912,1008,912
3,1,1.9123137612257715,3.130456428487682,1.2181426672619105,1858,897,897
2,3,3.749755160050367,3.2261878531106163,0.5235673069397508,791,820,791
4,4,3.7102284233865293,3.2183062105806415,0.49192221280588777,630,858,630
3,3,3.7548427992503846,3.2229965676643015,0.531846231586083,520,880,520
4,0,0.41181742703617186,2.541175767133196,2.129358340097024,441,962,441
