iteration,image_index,loss,l1,mse,ssim,edge,psnr,gaussians
1,109,0.029916955158114433,0.036500874906778336,0.003581270342692733,0.0,0.0,24.459628937582426,69507
500,36,0.02640059031546116,0.03227096423506737,0.0029190871864557266,0.0,0.0,25.3475293343571,69507
1000,97,0.02115088887512684,0.025996314361691475,0.0017691903049126267,0.0,0.0,27.522254492111408,69507
1500,78,0.024990979582071304,0.030683837831020355,0.002219544257968664,0.0,0.0,26.537361906701822,69507
2000,179,0.019830163568258286,0.024422142654657364,0.0014622375601902604,0.0,0.0,28.349820646568652,69507
2500,2,0.020661672577261925,0.025254787877202034,0.0022892081178724766,0.0,0.0,26.403147226880893,69507
3000,155,0.09628567099571228,0.11322630941867828,0.028523098677396774,0.0,0.0,15.448032956016181,69507
3500,94,0.016074348241090775,0.01967982016503811,0.001652458100579679,0.0,0.0,27.818695435928422,69507
4000,174,0.03801697865128517,0.04609474539756775,0.005705919582396746,0.0,0.0,22.43674353458377,69507
4500,57,0.04001670330762863,0.0484694167971611,0.0062058535404503345,0.0,0.0,22.07198478079085,69507
5000,57,0.040283769369125366,0.04875864461064339,0.006384273059666157,0.0,0.0,21.94888546192077,69507
5500,8,0.02215171419084072,0.026892738416790962,0.003187620546668768,0.0,0.0,24.965333824754378,69507
6000,58,0.030298911035060883,0.03681284561753273,0.004243169911205769,0.0,0.0,23.723095772313513,69507
6500,27,0.0512208454310894,0.06206818297505379,0.007831498049199581,0.0,0.0,21.061551559149176,69507
7000,161,0.01585770770907402,0.019512323662638664,0.0012392373755574226,0.0,0.0,29.068454966743147,69507
7500,18,0.017049163579940796,0.020961841568350792,0.0013984430115669966,0.0,0.0,28.543552270159232,69507
8000,5,0.04960895702242851,0.05911397933959961,0.01158885657787323,0.0,0.0,19.359594118722217,69507
8500,141,0.0206894613802433,0.02523837983608246,0.002493783365935087,0.0,0.0,26.031412762244944,69507
9000,46,0.025694791227579117,0.03113912045955658,0.003917465917766094,0.0,0.0,24.069947732360166,69507
9500,61,0.013835507445037365,0.017091013491153717,0.0008134808740578592,0.0,0.0,30.89652653407857,69507
10000,120,0.018371636047959328,0.022639362141489983,0.0013007352827116847,0.0,0.0,28.858110792687608,69507
