iteration,image_index,loss,l1,mse,ssim,edge,psnr,gaussians
1,27,0.016805242747068405,0.02064128965139389,0.0014610482612624764,0.0,0.0,28.35335438238317,20718
500,19,0.019638294354081154,0.024031542241573334,0.002065299777314067,0.0,0.0,26.85016901787622,20718
1000,5,0.01941157877445221,0.023835429921746254,0.0017161797732114792,0.0,0.0,27.65437220902018,20718
1500,41,0.011513220146298409,0.014176116324961185,0.0008616347331553698,0.0,0.0,30.646768026143462,20718
2000,17,0.01691310852766037,0.02071318030357361,0.0017128224717453122,0.0,0.0,27.662876478557436,20718
2500,2,0.020100247114896774,0.024701880291104317,0.0016937152249738574,0.0,0.0,27.71159608538421,20718
3000,46,0.017600633203983307,0.021505452692508698,0.0019813557155430317,0.0,0.0,27.03037547970208,20718
3500,23,0.015783287584781647,0.019432976841926575,0.0011845328845083714,0.0,0.0,29.264528780714105,20718
4000,14,0.015431011095643044,0.01901290751993656,0.0011034260969609022,0.0,0.0,29.5725674882482,20718
4500,4,0.017383122816681862,0.021374313160777092,0.001418356434442103,0.0,0.0,28.482146167838774,20718
5000,47,0.018635142594575882,0.022844720631837845,0.0017968321917578578,0.0,0.0,27.454924802625143,20718
5500,48,0.01835653930902481,0.022375471889972687,0.002280806889757514,0.0,0.0,26.419114837996354,20718
6000,26,0.014261968433856964,0.017591938376426697,0.0009420879650861025,0.0,0.0,30.259085441626468,20718
6500,47,0.01578846387565136,0.01936989277601242,0.0014627486234530807,0.0,0.0,28.348303019179877,20718
7000,12,0.013425702229142189,0.01658761501312256,0.0007780501618981361,0.0,0.0,31.089924025819148,20718
7500,40,0.010859247297048569,0.013405145145952702,0.0006756545044481754,0.0,0.0,31.702753235381252,20718
8000,2,0.02040211111307144,0.025071928277611732,0.0017228454817086458,0.0,0.0,27.637536717397335,20718
8500,27,0.010965539142489433,0.01352780032902956,0.0007164950366131961,0.0,0.0,31.447868137508888,20718
9000,6,0.01656508632004261,0.020408863201737404,0.0011899807723239064,0.0,0.0,29.244600558688898,20718
9500,24,0.014053947292268276,0.017326664179563522,0.0009630817803554237,0.0,0.0,30.16336833073712,20718
10000,25,0.015581025741994381,0.019200121983885765,0.001104641007259488,0.0,0.0,29.56778838628233,20718
