iteration,image_index,loss,l1,mse,ssim,edge,psnr,gaussians
1,54,0.15918390452861786,0.18600673973560333,0.05189253017306328,0.0,0.0,12.848951534829371,53475
500,0,0.04192964360117912,0.050668247044086456,0.006975231692194939,0.0,0.0,21.564413621087617,53475
1000,97,0.04797329381108284,0.05798785015940666,0.007915074937045574,0.0,0.0,21.015449690402455,55075
1500,63,0.05177302286028862,0.06238862872123718,0.009310596622526646,0.0,0.0,20.31022488560113,56675
2000,48,0.06026941537857056,0.07183433324098587,0.014009727165102959,0.0,0.0,18.535703223761836,56675
2500,44,0.042528823018074036,0.05132802948355675,0.007331987377256155,0.0,0.0,21.347782913902243,58275
3000,74,0.04301866143941879,0.051526498049497604,0.008987314067780972,0.0,0.0,20.46370081329173,59875
3500,15,0.03503059595823288,0.04262237250804901,0.004663484636694193,0.0,0.0,23.312894496312495,61475
4000,54,0.030706385150551796,0.037368305027484894,0.004058707505464554,0.0,0.0,23.91612245391225,61475
4500,44,0.0406007282435894,0.04908299446105957,0.006671666167676449,0.0,0.0,21.757656927604828,63075
5000,28,0.029397254809737206,0.03599905967712402,0.002990033710375428,0.0,0.0,25.243239153051682,64675
5500,3,0.03770245239138603,0.0458914116024971,0.004946602508425713,0.0,0.0,23.056929866103562,64675
6000,17,0.040858764201402664,0.04979172348976135,0.005126924254000187,0.0,0.0,22.901430988484147,64675
6500,41,0.056941792368888855,0.0685582384467125,0.010475997813045979,0.0,0.0,19.798046009094787,64675
7000,103,0.052760783582925797,0.06354190409183502,0.009636301547288895,0.0,0.0,20.160896181512243,64675
7500,94,0.024794375523924828,0.03013591282069683,0.003428223542869091,0.0,0.0,24.649308669503547,64675
8000,4,0.03509135916829109,0.04270060360431671,0.004654379561543465,0.0,0.0,23.321382031802877,64675
8500,104,0.054638028144836426,0.06581232696771622,0.009940833784639835,0.0,0.0,20.02577187747365,64675
9000,85,0.025945812463760376,0.03134391829371452,0.004353383090347052,0.0,0.0,23.61173113981296,64675
9500,41,0.04316537082195282,0.052223626524209976,0.006932334508746862,0.0,0.0,21.59120489264837,64675
10000,64,0.046554744243621826,0.05618805065751076,0.008021518588066101,0.0,0.0,20.95743405782457,64675
10500,39,0.025007043033838272,0.030680164694786072,0.0023145494051277637,0.0,0.0,26.355335445656095,64675
11000,58,0.02796914614737034,0.03428130969405174,0.0027204889338463545,0.0,0.0,25.653530363374696,64675
11500,68,0.04505965858697891,0.05474428832530975,0.00632112380117178,0.0,0.0,21.99205703796705,64675
12000,1,0.03729993477463722,0.04509313032031059,0.006127145141363144,0.0,0.0,22.12741831868712,64675
12500,8,0.03563643619418144,0.04345753788948059,0.004352034069597721,0.0,0.0,23.613077134522538,64675
13000,16,0.046570636332035065,0.056561246514320374,0.006608196534216404,0.0,0.0,21.799170491537115,64675
13500,80,0.037304166704416275,0.04503168165683746,0.006394105963408947,0.0,0.0,21.94220170857188,64675
14000,8,0.027100326493382454,0.03304199129343033,0.003333664732053876,0.0,0.0,24.770780794751673,64675
