iteration,image_index,loss,l1,mse,ssim,edge,psnr,gaussians
1,54,0.027311885729432106,0.03326015546917915,0.003518805606290698,0.0,0.0,24.536047247667394,64675
500,0,0.02682957611978054,0.032607972621917725,0.003715985920280218,0.0,0.0,24.299259401994377,64675
1000,97,0.027687374502420425,0.033690884709358215,0.003673333441838622,0.0,0.0,24.34939647375426,64675
1500,63,0.036943331360816956,0.04487226530909538,0.00522759510204196,0.0,0.0,22.81698057617637,64675
2000,48,0.034437280148267746,0.04168681055307388,0.005439151544123888,0.0,0.0,22.64468840824486,64675
2500,44,0.027360541746020317,0.033409930765628815,0.003162982640787959,0.0,0.0,24.999031915906595,64675
3000,74,0.025798970833420753,0.03137906268239021,0.0034786032047122717,0.0,0.0,24.585951072776837,64675
3500,15,0.026182537898421288,0.03203759342432022,0.002762309042736888,0.0,0.0,25.587277348641535,64675
4000,54,0.020608888939023018,0.025279246270656586,0.0019274543737992644,0.0,0.0,27.150158936618244,64675
4500,44,0.024941980838775635,0.03049635887145996,0.002724460558965802,0.0,0.0,25.64719474839152,64675
5000,28,0.018644046038389206,0.022964395582675934,0.0013626498403027654,0.0,0.0,28.656157303440658,64675
5500,3,0.024983195587992668,0.03061799518764019,0.0024439950939267874,0.0,0.0,26.118996702309005,64675
6000,17,0.025643784552812576,0.03140485659241676,0.002599493833258748,0.0,0.0,25.85111208499636,64675
6500,41,0.03901096433401108,0.047393687069416046,0.005480069201439619,0.0,0.0,22.61213957279571,64675
7000,103,0.038862407207489014,0.046918921172618866,0.006636350881308317,0.0,0.0,21.780706597502366,64675
7500,94,0.014646132476627827,0.017974117770791054,0.0013341900194063783,0.0,0.0,28.747823124714348,64675
8000,4,0.023840686306357384,0.0292341485619545,0.002266837516799569,0.0,0.0,26.445796082750267,64675
8500,104,0.03721893951296806,0.04498354345560074,0.006160511635243893,0.0,0.0,22.103832178459708,64675
9000,85,0.016769900918006897,0.02051893062889576,0.001773774973116815,0.0,0.0,27.5110147702539,64675
9500,41,0.03509832173585892,0.04276365414261818,0.004436981864273548,0.0,0.0,23.52912346415746,64675
10000,64,0.025980068370699883,0.031790733337402344,0.0027374071069061756,0.0,0.0,25.626606095555,64675
