iteration,image_index,loss,l1,mse,ssim,edge,psnr,gaussians
1,54,0.022855671122670174,0.027963513508439064,0.002424302278086543,0.0,0.0,26.154132304131945,58663
500,76,0.022839469835162163,0.027711106464266777,0.0033529172651469707,0.0,0.0,24.745771628650775,58663
1000,59,0.020232751965522766,0.024731725454330444,0.002236859640106559,0.0,0.0,26.50361266435182,58663
1500,28,0.015350086614489555,0.018901772797107697,0.0011433407198637724,0.0,0.0,29.41824328916792,58663
2000,62,0.019854212179780006,0.024218449369072914,0.002397263189777732,0.0,0.0,26.202842831989415,58663
2500,5,0.018463656306266785,0.022678721696138382,0.0016033914871513844,0.0,0.0,27.94960426521962,58663
3000,48,0.016678981482982635,0.020452287048101425,0.0015857514226809144,0.0,0.0,27.997648902964496,58663
3500,70,0.02033722586929798,0.024950556457042694,0.0018838965333998203,0.0,0.0,27.249429530332936,58663
4000,38,0.020242512226104736,0.024768542498350143,0.0021383892744779587,0.0,0.0,26.699132325374897,58663
4500,51,0.01215742900967598,0.014937548898160458,0.0010369481751695275,0.0,0.0,29.842429483364423,58663
5000,42,0.01427109632641077,0.017448971047997475,0.001559596392326057,0.0,0.0,28.069877780972206,58663
5500,47,0.021332690492272377,0.026144368574023247,0.0020859772339463234,0.0,0.0,26.806904357107534,58663
6000,68,0.019315147772431374,0.02366950735449791,0.0018977087456732988,0.0,0.0,27.217704409356354,58663
6500,20,0.012335377745330334,0.015261536464095116,0.0006307410658337176,0.0,0.0,32.00148892354734,58663
7000,38,0.019112439826130867,0.02336917817592621,0.0020854820031672716,0.0,0.0,26.807935535807342,58663
7500,73,0.01890035904943943,0.023161742836236954,0.0018548251828178763,0.0,0.0,27.31697016353655,58663
8000,11,0.021399304270744324,0.02605866827070713,0.002761844079941511,0.0,0.0,25.58800843184041,58663
8500,72,0.024094006046652794,0.029438968747854233,0.002714151982218027,0.0,0.0,25.66365837151379,58663
9000,32,0.014326060190796852,0.01765485107898712,0.001010896172374487,0.0,0.0,29.952934478515346,58663
9500,52,0.01157789770513773,0.014153659343719482,0.0012748505687341094,0.0,0.0,28.9454071795748,58663
10000,75,0.014759378507733345,0.01809467002749443,0.0014182118466123939,0.0,0.0,28.48258891196072,58663
