iteration,image_index,loss,l1,mse,ssim,edge,psnr,gaussians
1,219,0.03183881938457489,0.03872188553214073,0.0043065547943115234,0.0,0.0,23.65870022680776,145975
500,255,0.036918047815561295,0.044763222336769104,0.0055373418144881725,0.0,0.0,22.566986671031692,145975
1000,379,0.02475268766283989,0.030289724469184875,0.0026045397389680147,0.0,0.0,25.842690118988347,145975
1500,184,0.030410636216402054,0.03719338774681091,0.003279624041169882,0.0,0.0,24.841759386674624,145975
2000,194,0.02491161786019802,0.030297698453068733,0.00336729409173131,0.0,0.0,24.727189516729666,145975
2500,228,0.03212578967213631,0.03900585696101189,0.004605512600392103,0.0,0.0,23.367220251560987,145975
3000,223,0.026478316634893417,0.0323733352124691,0.0028982367366552353,0.0,0.0,25.378661429421857,145975
3500,93,0.018933003768324852,0.023292720317840576,0.001494139083661139,0.0,0.0,28.256089738358042,145975
4000,194,0.024774927645921707,0.030220139771699905,0.0029940768145024776,0.0,0.0,25.237370618130676,145975
4500,204,0.023916102945804596,0.029426293447613716,0.0018753396579995751,0.0,0.0,27.26920062210592,145975
5000,16,0.026798609644174576,0.03222440555691719,0.0050954208709299564,0.0,0.0,22.928199383752062,145975
5500,355,0.02488706260919571,0.030451875180006027,0.0026278123259544373,0.0,0.0,25.804056546041977,145975
6000,191,0.02236194722354412,0.027406318113207817,0.0021844645962119102,0.0,0.0,26.60654989541917,145975
6500,342,0.02151528000831604,0.026333440095186234,0.002242635702714324,0.0,0.0,26.492412681693164,145975
7000,183,0.028275564312934875,0.034627918154001236,0.0028661449905484915,0.0,0.0,25.42701843595895,145975
7500,204,0.024310598149895668,0.029904978349804878,0.0019330749055370688,0.0,0.0,27.13751316984833,145975
8000,19,0.024613961577415466,0.029552550986409187,0.00485960254445672,0.0,0.0,23.133992492166886,145975
8500,109,0.02419179491698742,0.029582444578409195,0.0026291953399777412,0.0,0.0,25.801771461405462,145975
9000,114,0.021979765966534615,0.026976630091667175,0.001992305973544717,0.0,0.0,27.006439628914066,145975
9500,9,0.02077191323041916,0.02542160451412201,0.0021731453016400337,0.0,0.0,26.629112347513576,145975
10000,331,0.020976144820451736,0.025851227343082428,0.0014758125180378556,0.0,0.0,28.30968810231948,145975
